0,1,gi|29690980|gb|AY195787.1|,gi|13272920|gb|AF346989.1|,0.002843593
0,2,gi|29690980|gb|AY195787.1|,gi|13272556|gb|AF346963.1|,0.002358563
0,3,gi|29690980|gb|AY195787.1|,gi|13272836|gb|AF346983.1|,0.002540448
0,4,gi|29690980|gb|AY195787.1|,gi|13273130|gb|AF347004.1|,0.002358278
0,5,gi|29690980|gb|AY195787.1|,gi|119394815|gb|EF060354.1|,0.002661741
0,6,gi|29690980|gb|AY195787.1|,gi|32348589|gb|AY289094.1|,0.00235852
0,7,gi|29690980|gb|AY195787.1|,gi|13272738|gb|AF346976.1|,0.003451223
0,8,gi|29690980|gb|AY195787.1|,gi|13272878|gb|AF346986.1|,0.004727979
0,9,gi|29690980|gb|AY195787.1|,gi|48596203|gb|AY195783.2|,0.004910455
0,10,gi|29690980|gb|AY195787.1|,gi|13273270|gb|AF347014.1|,0.003026119
0,11,gi|29690980|gb|AY195787.1|,gi|13273074|gb|AF347000.1|,0.003268647
0,12,gi|29690980|gb|AY195787.1|,gi|253947317|emb|FM865409.1|,0.01208588
0,13,gi|29690980|gb|AY195787.1|,gi|643679|dbj|D38113.1|CHPMTB,0.084339344
1,2,gi|13272920|gb|AF346989.1|,gi|13272556|gb|AF346963.1|,0.002540448
1,3,gi|13272920|gb|AF346989.1|,gi|13272836|gb|AF346983.1|,0.002358563
1,4,gi|13272920|gb|AF346989.1|,gi|13273130|gb|AF347004.1|,0.002600776
1,5,gi|13272920|gb|AF346989.1|,gi|119394815|gb|EF060354.1|,0.00205557
1,6,gi|13272920|gb|AF346989.1|,gi|32348589|gb|AY289094.1|,0.002783063
1,7,gi|13272920|gb|AF346989.1|,gi|13272738|gb|AF346976.1|,0.003268801
1,8,gi|13272920|gb|AF346989.1|,gi|13272878|gb|AF346986.1|,0.004911312
1,9,gi|13272920|gb|AF346989.1|,gi|48596203|gb|AY195783.2|,0.005093865
1,10,gi|13272920|gb|AF346989.1|,gi|13273270|gb|AF347014.1|,0.002601676
1,11,gi|13272920|gb|AF346989.1|,gi|13273074|gb|AF347000.1|,0.002965102
1,12,gi|13272920|gb|AF346989.1|,gi|253947317|emb|FM865409.1|,0.012024233
1,13,gi|13272920|gb|AF346989.1|,gi|643679|dbj|D38113.1|CHPMTB,0.085109767
2,3
2,4
2,5,gi|13272556|gb|AF346963.1|,gi|119394815|gb|EF060354.1|,0.002662038
2,6,gi|13272556|gb|AF346963.1|,gi|32348589|gb|AY289094.1|,0.002176589
2,7
2,8,gi|13272556|gb|AF346963.1|,gi|13272878|gb|AF346986.1|,0.004667618
2,9,gi|13272556|gb|AF346963.1|,gi|48596203|gb|AY195783.2|,0.004850091
